职位名称,公司名称,工作城市,薪资范围,学历要求,公司类型,公司规模,职位类别,工作经验,福利待遇
光伏大客户经理,金风科技股份有限公司,长沙,1.2万-1.8万,本科,股份制企业,1000-9999人,销售业务,3-5年,"餐补,节日福利,周末双休,五险一金,绩效奖金,定期体检,补充医疗保险,带薪年假"
客服经理,泸州老窖,长沙,6千-8千,本科,股份制企业,1000-9999人,销售业务,3-5年,"五险一金,绩效奖金,定期体检,节日福利,带薪年假,交通补助,餐补"
零售省区经理（湖南）,广西壮族自治区花红药业集团股份公司,长沙,1万-1.5万,本科,股份制企业,500-999人,销售管理,3-5年,"五险一金,年底双薪,带薪年假,交通补助,餐补,节日福利"
战略配套客户销售工程师,青岛泰凯英轮胎有限公司,长沙,5千-1万,本科,股份制企业,100-299人,销售业务,3-5年,"五险一金,全勤奖,绩效奖金,交通补助,餐补,补充医疗保险,定期体检,高温补贴"
网络金融部-湖南营销总部-银证合作部,国金证券,长沙,1.5万-2万,本科,股份制企业,1000-9999人,销售业务,3-5年,"五险一金,绩效奖金,每年多次调薪,高温补贴,试用期全额,弹性工作"
销售工程师,政通智慧城市运营科技有限公司,长沙,1万-1.5万,本科,股份制企业,1000-9999人,销售业务,3-5年,"节日福利,通讯补助,周末双休,五险一金,餐补,带薪年假,全勤奖,公司重点项目"
销售经理（环保）,北京怡孚和融科技有限公司,长沙,8千-1万,本科,股份制企业,100-299人,销售业务,3-5年,"五险一金,绩效奖金,带薪年假"
KA销售主管（长沙）,北京德青源农业科技股份有限公司,长沙,9千-1.2万,本科,股份制企业,1000-9999人,销售管理,3-5年,"五险一金,带薪年假,定期体检,绩效奖金"
区域销售经理/主管,中国平安人寿保险股份有限公司湖南分公司人力资源管理中心,长沙,8千-1万,本科,股份制企业,不限,销售管理,3-5年,"弹性工作,绩效奖金,补充医疗保险,出国游,带团队"
营销经理,安徽众邦生物工程有限公司,长沙,5.5千-8千,本科,股份制企业,20-99人,销售业务,3-5年,"绩效奖金,交通补助,五险一金,节日福利,全勤奖,通讯补助,餐补,带薪年假"
营销总监,国融证券股份有限公司长沙车站北路证券营业部,长沙,1万-1.5万,本科,股份制企业,20-99人,销售管理,3-5年,"五险一金,全勤奖,绩效奖金,定期体检,不加班,员工旅游,周末双休,每年多次调薪"
高薪日化 省区经理 湖南,杭州莫诺生物科技有限公司,长沙,1万-1.5万,本科,股份制企业,20-99人,销售业务,3-5年,"交通补助,餐补,弹性工作,高温补贴,节日福利,带薪年假,通讯补助,五险"
营销总监,云创征信服务有限公司,长沙,1万-1.5万,本科,股份制企业,20-99人,销售管理,3-5年,"五险一金,绩效奖金,带薪年假,补充医疗保险,周末双休,项目奖金,节日福利,股票期权"
商务经理,润建股份,长沙,6千-1万,本科,股份制企业,1000-9999人,销售业务,3-5年,"周末双休,五险一金,弹性工作,餐补,定期团建,定期体检,节日福利,项目分享"
技术营销经理,长沙麦融高科股份有限公司,长沙,1万-1.5万,本科,股份制企业,20-99人,销售业务,3-5年,"五险一金,包住,绩效奖金,加班补助,全勤奖,节日福利,带薪年假,餐补"
大客户经理（KA）,江苏恒瑞,长沙,1.5万-2万,本科,股份制企业,10000人以上,销售业务,3-5年,
销售经理-长沙,科远智慧,长沙,8千-1.3万,本科,股份制企业,1000-9999人,销售管理,3-5年,"五险一金,通讯补助,餐补,免费班车,免息房贷,节日福利,员工旅游,带薪年假"
招商经理,湖南一特医疗股份有限公司,长沙,6千-8千,本科,股份制企业,100-299人,销售业务,3-5年,"五险一金,带薪年假,节日福利,包吃,周末双休,年底双薪,免费停车"
经营综合 主管/经理,中航建筑,长沙,8千-1.6万,本科,股份制企业,300-499人,销售业务,3-5年,"五险一金,绩效奖金,餐补,带薪年假,定期体检,高温补贴,节日福利"
商务经理,上海电子工程设计研究院有限公司长沙分公司,长沙,4千-8千,本科,股份制企业,100-299人,销售业务,3-5年,"五险一金,绩效奖金,年终分红,交通补助,通讯补助,带薪年假,餐补,周末双休"
区域销售经理,山东确信信息产业股份有限公司,长沙,8千-1万,本科,股份制企业,100-299人,销售管理,3-5年,"五险一金,绩效奖金,员工旅游,节日福利,周末双休,年终分红"
政法客户经理-销委会-湖南大区,科大讯飞,长沙,7千-1.4万,本科,股份制企业,1000-9999人,销售管理,3-5年,"周末双休,餐补,节日福利"
销售经理（餐饮）,北京德青源农业科技股份有限公司,长沙,1万-1.5万,本科,股份制企业,1000-9999人,销售管理,3-5年,"五险一金,定期体检,带薪年假,绩效奖金"
财富中心经理,恒泰证券,长沙,1万-1.5万,本科,股份制企业,1000-9999人,销售管理,3-5年,"五险一金,交通补助,餐补,通讯补助,采暖补贴,带薪年假,补充医疗保险,绩效奖金"
综合管理,中国平安人寿保险股份有限公司湖南省直属区域服务第三支公司,长沙,8千-1万,本科,股份制企业,1000-9999人,销售管理,3-5年,"五险一金,绩效奖金,全勤奖,带薪年假,弹性工作,补充医疗保险,员工旅游,节日福利"
营销经理,湖南鑫长城工艺制品有限公司,长沙,1万-1.5万,本科,股份制企业,100-299人,销售业务,3-5年,"节日福利,包吃,免费停车,通讯补助,绩效奖金,五险一金,带薪年假"
销售总监,湖南创研科技股份有限公司,长沙,8千-1.6万,本科,股份制企业,100-299人,销售管理,3-5年,"五险一金,周末双休,项目奖金,定期团建,年终分红,全勤奖,绩效奖金,带薪年假"
GTD-YX-005：办事处经理（派驻湖南省以外）,广州市明道文化科技集团股份有限公司,长沙,1.5万-2万,本科,股份制企业,500-999人,销售管理,3-5年,"五险一金,年底双薪,包住,餐补,带薪年假,定期体检,员工旅游,节日福利"
高级销售代表 Senior Sales Representative,欧蒙医学诊断(中国)有限公司,长沙,1万-1.2万,本科,外商独资,500-999人,销售业务,3-5年,"五险一金,餐补,绩效奖金,弹性工作,带薪年假,节日福利,定期体检,补充医疗保险"
大区销售总监,飞救医疗科技(北京)有限公司,长沙,1.5万-2万,本科,外商独资,100-299人,销售管理,3-5年,五险一金
湖南外区商用类中央空调销售工程师,大金(中国)投资有限公司武汉分公司,长沙,6千-8千,本科,外商独资,100-299人,销售管理,3-5年,"五险一金,绩效奖金,交通补助,通讯补助,带薪年假,定期体检,员工旅游,节日福利"
高校BD,饿了么,长沙,8千-1万,本科,外商独资,10000人以上,销售业务,3-5年,"五险一金,年底双薪,绩效奖金,带薪年假,定期体检,餐补"
食品行业大客户渠道主管&经理,诺思兰德功能食品科技开发有限公司,长沙,8千-1万,本科,外商独资,20-99人,销售管理,3-5年,"五险一金,包吃,周末双休,定期团建,大牛带队,包住,弹性工作,带薪年假"
销售经理,天津大成热能科技有限公司,长沙,8千-1万,本科,外商独资,20-99人,销售管理,3-5年,"五险一金,绩效奖金,通讯补助,采暖补贴,高温补贴,交通补助,员工旅游"
UBS 销售经理(医疗),德尔格医疗,长沙,9千-1.5万,本科,外商独资,500-999人,销售管理,3-5年,"五险一金,年底双薪,补充医疗保险,定期体检,绩效奖金,弹性工作,带薪年假,餐补"
招商主管,长沙时代奥特莱斯商业有限公司,长沙,6千-8千,本科,外商独资,100-299人,销售业务,3-5年,"五险一金,年底双薪,餐补,带薪年假,免费班车,周末双休,全额公积金,补充医疗保险"
企划部-商务BD专员,长沙肯德基,长沙,8千-1.2万,本科,外商独资,10000人以上,销售业务,3-5年,"五险一金,带薪年假,补充医疗保险,定期体检,节日福利,周末双休,定期团建"
商用类中央空调销售工程师,大金(中国)投资有限公司武汉分公司,长沙,6千-8千,本科,外商独资,100-299人,销售业务,3-5年,"五险一金,绩效奖金,交通补助,通讯补助,带薪年假,定期体检,员工旅游,节日福利"
便携式气体检测仪器销售代表,德尔格医疗,长沙,8千-1.5万,本科,外商独资,500-999人,销售业务,3-5年,"五险一金,年底双薪,补充医疗保险,定期体检,绩效奖金,带薪年假,试用期全额,交通补助"
服务销售工程师,中国自动化集团有限公司,长沙,面议,本科,外商独资,1000-9999人,销售业务,3-5年,"五险一金,绩效奖金,交通补助,餐补,通讯补助,带薪年假,定期体检,员工旅游"
油站开发经理,湖南壳牌能源有限公司,长沙,1万-1.5万,本科,外商独资,100-299人,市场,3-5年,"五险一金,年底双薪,带薪年假,补充医疗保险,定期体检,绩效奖金,加班补助,包吃"
销售/高级销售工程师,利莱森玛电机科技(福州)有限公司上海分公司,长沙,8千-1.5万,本科,外商独资,100-299人,销售业务,3-5年,"五险一金,绩效奖金,通讯补助,补充医疗保险,定期体检,高温补贴"
区域销售代表-home base-湖南/湖北,Wolters Kluwer China,长沙,1.5万-2万,本科,外商独资,500-999人,销售业务,3-5年,"五险一金,绩效奖金,带薪年假,补充医疗保险,定期体检,弹性工作,年终分红"
销售经理,宏桥科技,长沙,8千-1.2万,本科,外商独资,100-299人,销售管理,3-5年,"周末双休,五险一金,绩效奖金,带薪年假,加班补助"
区域销售经理,宁波德唐商务咨询有限公司,长沙,8千-1万,本科,外商独资,20人以下,销售管理,3-5年,"五险一金,补充医疗保险,绩效奖金"
商用地产项目销售主管,大金(中国)投资有限公司武汉分公司,长沙,6千-8千,本科,外商独资,100-299人,销售管理,3-5年,"五险一金,绩效奖金,交通补助,通讯补助,带薪年假,定期体检,员工旅游,节日福利"
特斯拉-产品销售专家/专员-长沙,特斯拉汽车,长沙,8千-1.2万,本科,外商独资,500-999人,销售业务,3-5年,"股票期权,补充医疗保险,弹性工作,五险一金,定期体检,带薪年假,绩效奖金,大牛带队"
地产类中央空调销售工程师,大金(中国)投资有限公司武汉分公司,长沙,6千-8千,本科,外商独资,100-299人,销售业务,3-5年,"五险一金,绩效奖金,交通补助,通讯补助,带薪年假,定期体检,员工旅游,节日福利"
医学经理,方盛制药,长沙,1.5万-2万,本科,上市公司,1000-9999人,生物/制药/医疗器械,3-5年,"节日福利,五险一金,年底双薪,绩效奖金,全勤奖,房补"
ka经理,新希望乳业,长沙,8千-1.6万,本科,上市公司,1000-9999人,销售业务,3-5年,"绩效奖金,带薪年假,五险一金,节日福利,年底双薪,交通补助,餐补,定期体检"
办事处主任,佳都科技,长沙,1万-1.5万,本科,上市公司,1000-9999人,销售管理,3-5年,"五险一金,股票期权,带薪年假,高温补贴,员工旅游,免费班车,餐补,绩效奖金"
大客户经理,邦弗特新材料股份有限公司,长沙,1万-1.5万,本科,上市公司,100-299人,销售业务,3-5年,"五险一金,年底双薪,绩效奖金,包吃,包住,定期体检"
涂料业务经理,东方雨虹,长沙,1万-2万,本科,上市公司,1000-9999人,销售管理,3-5年,"五险一金,绩效奖金,股票期权,定期体检,带薪年假,年终分红"
销售经理储备岗,交通银行信用卡中心,长沙,8千-1万,本科,上市公司,10000人以上,销售管理,3-5年,"五险一金,年底双薪,绩效奖金,交通补助,餐补,补充医疗保险"
大客户销售经理（湖南）,华宇信息,长沙,5千-8千,本科,上市公司,1000-9999人,销售业务,3-5年,"周末双休,五险一金,餐补,定期体检,员工旅游,健身俱乐部,节日福利,补充医疗保险"
销售负责人/经理/主管,高途课堂,长沙,1.7万-3.3万,本科,上市公司,1000-9999人,销售管理,3-5年,"五险一金,绩效奖金,股票期权,交通补助,带薪年假,定期体检,试用期全额,节日福利"
